ts,ticker,close_time,secs_to_close,floor_strike,yes_bid,yes_ask,yes_mid,spread_c,yes_bid_size,yes_ask_size,last_price,volume,open_interest,btc_spot
2026-07-31T08:05:57.876+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,542,63893.36,0.36,0.37,0.365,1.0,598.56,2062.66,0.3600,540917.57,191439.54,63932.63
2026-07-31T08:06:05.181+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,534,63893.36,0.36,0.37,0.365,1.0,598.56,2062.66,0.3600,540917.57,191439.54,63930.0
2026-07-31T08:06:06.317+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,533,63893.36,0.36,0.37,0.365,1.0,598.56,2062.66,0.3600,540917.57,191439.54,63922.0
2026-07-31T08:06:12.327+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,527,63893.36,0.26,0.27,0.265,1.0,4628.98,500.00,0.2700,589216.48,208293.12,63922.01
2026-07-31T08:06:16.456+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,523,63893.36,0.26,0.27,0.265,1.0,4628.98,500.00,0.2700,589216.48,208293.12,63922.01
2026-07-31T08:06:21.320+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,518,63893.36,0.26,0.27,0.265,1.0,4628.98,500.00,0.2700,589216.48,208293.12,63922.01
2026-07-31T08:06:26.323+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,513,63893.36,0.26,0.27,0.265,1.0,4628.98,500.00,0.2700,589216.48,208293.12,63922.01
2026-07-31T08:06:31.447+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,508,63893.36,0.26,0.27,0.265,1.0,4628.98,500.00,0.2700,589216.48,208293.12,63922.01
2026-07-31T08:06:37.441+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,502,63893.36,0.26,0.27,0.265,1.0,4628.98,500.00,0.2700,589216.48,208293.12,63918.01
2026-07-31T08:06:42.678+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,497,63893.36,0.26,0.27,0.265,1.0,4628.98,500.00,0.2700,589216.48,208293.12,63918.01
2026-07-31T08:06:47.639+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,492,63893.36,0.22,0.23,0.225,1.0,1148.38,993.00,0.2300,637043.22,223143.21,63918.0
