started_at,resolved_at,market_id,side,duration_ms,tau_at_start_sec
2026-07-30T06:57:14.493Z,2026-07-30T06:57:14.892Z,btc5m1785394604172,yes,399,269.7
2026-07-30T06:57:14.493Z,2026-07-30T06:57:14.892Z,btc5m1785394604172,no,399,269.7
2026-07-30T06:57:24.534Z,2026-07-30T06:57:24.936Z,btc5m1785394604172,yes,402,259.6
2026-07-30T06:57:24.534Z,2026-07-30T06:57:24.936Z,btc5m1785394604172,no,402,259.6
2026-07-30T06:57:47.789Z,2026-07-30T06:57:48.591Z,btc5m1785394604172,yes,802,236.4
2026-07-30T06:57:47.789Z,2026-07-30T06:57:48.591Z,btc5m1785394604172,no,802,236.4
2026-07-30T06:58:03.050Z,2026-07-30T06:58:04.242Z,btc5m1785394604172,yes,1192,221.1
2026-07-30T06:58:03.050Z,2026-07-30T06:58:04.242Z,btc5m1785394604172,no,1192,221.1
2026-07-30T06:58:06.278Z,2026-07-30T06:58:10.284Z,btc5m1785394604172,yes,4006,217.9
2026-07-30T06:58:06.683Z,2026-07-30T06:58:10.284Z,btc5m1785394604172,no,3601,217.5
2026-07-30T06:58:25.551Z,2026-07-30T06:58:29.586Z,btc5m1785394604172,yes,4035,198.6
2026-07-30T06:58:25.551Z,2026-07-30T06:58:29.586Z,btc5m1785394604172,no,4035,198.6
2026-07-30T06:58:39.212Z,2026-07-30T06:58:40.009Z,btc5m1785394604172,yes,797,185.0
2026-07-30T06:58:38.807Z,2026-07-30T06:58:40.009Z,btc5m1785394604172,no,1202,185.4
2026-07-30T06:58:55.680Z,2026-07-30T06:58:59.302Z,btc5m1785394604172,yes,3622,168.5
2026-07-30T06:58:55.680Z,2026-07-30T06:58:59.302Z,btc5m1785394604172,no,3622,168.5
2026-07-30T06:59:03.702Z,2026-07-30T06:59:08.109Z,btc5m1785394604172,yes,4407,160.5
2026-07-30T06:59:03.702Z,2026-07-30T06:59:08.109Z,btc5m1785394604172,no,4407,160.5
2026-07-30T06:59:25.763Z,2026-07-30T06:59:28.574Z,btc5m1785394604172,yes,2811,138.4
2026-07-30T06:59:25.763Z,2026-07-30T06:59:28.574Z,btc5m1785394604172,no,2811,138.4
2026-07-30T06:59:36.603Z,2026-07-30T06:59:38.613Z,btc5m1785394604172,yes,2010,127.6
2026-07-30T06:59:36.603Z,2026-07-30T06:59:38.613Z,btc5m1785394604172,no,2010,127.6
2026-07-30T06:59:46.228Z,2026-07-30T06:59:49.891Z,btc5m1785394604172,yes,3663,117.9
2026-07-30T06:59:46.228Z,2026-07-30T06:59:49.891Z,btc5m1785394604172,no,3663,117.9
2026-07-30T06:59:57.492Z,2026-07-30T06:59:57.891Z,btc5m1785394604172,no,399,106.7
2026-07-30T06:59:57.492Z,2026-07-30T06:59:58.292Z,btc5m1785394604172,yes,800,106.7
2026-07-30T07:00:09.923Z,2026-07-30T07:00:10.324Z,btc5m1785394604172,yes,401,94.2
2026-07-30T07:00:09.923Z,2026-07-30T07:00:10.324Z,btc5m1785394604172,no,401,94.2
2026-07-30T07:00:21.582Z,2026-07-30T07:00:27.218Z,btc5m1785394604172,yes,5636,82.6
2026-07-30T07:00:21.582Z,2026-07-30T07:00:27.218Z,btc5m1785394604172,no,5636,82.6
2026-07-30T07:00:30.022Z,2026-07-30T07:00:30.824Z,btc5m1785394604172,no,802,74.2
2026-07-30T07:00:30.022Z,2026-07-30T07:00:31.224Z,btc5m1785394604172,yes,1202,74.2
2026-07-30T07:00:33.228Z,2026-07-30T07:00:33.632Z,btc5m1785394604172,yes,404,70.9
2026-07-30T07:00:33.228Z,2026-07-30T07:00:33.632Z,btc5m1785394604172,no,404,70.9
2026-07-30T07:00:36.440Z,2026-07-30T07:00:39.247Z,btc5m1785394604172,yes,2807,67.7
2026-07-30T07:00:36.440Z,2026-07-30T07:00:39.247Z,btc5m1785394604172,no,2807,67.7
2026-07-30T07:00:42.054Z,2026-07-30T07:00:42.454Z,btc5m1785394604172,yes,400,62.1
2026-07-30T07:00:45.268Z,2026-07-30T07:00:45.664Z,btc5m1785394604172,yes,396,58.9
2026-07-30T07:00:55.324Z,2026-07-30T07:00:57.713Z,btc5m1785394604172,yes,2389,48.8
2026-07-30T07:01:04.136Z,2026-07-30T07:01:05.766Z,btc5m1785394604172,yes,1630,40.0
2026-07-30T07:00:42.054Z,2026-07-30T07:01:14.568Z,btc5m1785394604172,no,32514,62.1
2026-07-30T07:01:47.482Z,2026-07-30T07:01:50.335Z,btc5m1785394904162,yes,2853,296.7
2026-07-30T07:01:47.482Z,2026-07-30T07:01:50.335Z,btc5m1785394904162,no,2853,296.7
2026-07-30T07:01:48.686Z,2026-07-30T07:01:54.703Z,btc5m1785394907013,yes,6017,298.3
2026-07-30T07:01:48.686Z,2026-07-30T07:01:54.703Z,btc5m1785394907013,no,6017,298.3
